Name,Value
MoveSpeed,0.07
AirMoveSpeed,0.07
RotationSpeed,0.35
MoveInputThreshold,0.05
RunInputThreshold,0.6
JumpPower,0.15
JumpHoldPower,0.001
JumpCutRate,0.3
CoyoteTime,0.1
JumpBufferTime,0.15
FallAnimDelay,0.3
RollSpeed,0.07
RollTime,0.7
HoverRiseSpeed,0.05
HoverRiseHeight,0.6
HoverTime,0.8
HoverMoveSpeed,0.07
Scale,0.7
AABBSizeX,0.5
AABBSizeY,1
AABBSizeZ,0.5
AABBOffsetX,0
AABBOffsetY,0.5
AABBOffsetZ,0
AnimSpeedHover,1
AnimSpeedDie,1
AnimSpeedFall,1
AnimSpeedDashJump,0.85
AnimSpeedIdle,1
AnimSpeedJump,1
AnimSpeedRun,0.9
AnimSpeedWalk,0.6
AnimSpeedRolling,1.5
